,FID,Id,SPECIES,DATEPLANT,Latitude,Longitude,Rootspace,nearest_st,tree_heigh,tree_sprea,Diameter_a,condition,tree_def_1,tree_def_2,are_over_h,tree_care_,tree_asset,age_class,collected_,date_of_in,inspected,parent,families,parent_name
140,140,0,Cladrastis kentukea,2017,42.69962231,-71.14942184, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
141,141,0,Cladrastis kentukea,2017,42.69967995,-71.14943135, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
142,142,0,Cladrastis kentukea,2017,42.69958038,-71.149467, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
143,143,0,Cladrastis kentukea,2017,42.69957514,-71.1495383, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CLADRASTIS,
144,144,0,Gymnocladus dioicus,2017,42.69947731,-71.15006091, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
145,145,0,Gymnocladus dioicus,2017,42.6994664,-71.15017083, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
146,146,0,Acer freemanii 'Armstrong',2017,42.69954544,-71.14987314, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
147,147,0,Acer freemanii 'Armstrong',2017,42.69955242,-71.14974479, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
148,148,0,Acer freemanii 'Armstrong',2017,42.6995629,-71.14964021, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
149,149,0,Acer freemanii 'Armstrong',2017,42.70045025,-71.14957842, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
150,150,0,Acer freemanii 'Armstrong',2017,42.70038387,-71.14955465, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
151,151,0,Acer freemanii 'Armstrong',2017,42.70032099,-71.14953088, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
152,152,0,Acer freemanii 'Armstrong',2017,42.7002616,-71.14952137, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
153,153,0,Acer freemanii 'Armstrong',2017,42.70020221,-71.14950236, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
154,154,0,Acer freemanii 'Armstrong',2017,42.70014981,-71.14950236, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
155,155,0,Acer freemanii 'Armstrong',2017,42.7001009,-71.14950236, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
156,156,0,Acer freemanii 'Armstrong',2017,42.70004151,-71.14949285, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
157,157,0,Ulmus americana,2017,42.69951399,-71.14967349, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
158,158,0,Ulmus americana,2017,42.69951749,-71.14957366, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
159,159,0,Platanus acerifolia,2017,42.69934281,-71.15235927, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
160,160,0,Platanus acerifolia,2017,42.69945111,-71.15216912, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
161,161,0,Platanus acerifolia,2017,42.69933932,-71.15214536, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
162,162,0,Platanus acerifolia,2017,42.69950701,-71.15225469, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
163,163,0,Platanus acerifolia,2017,42.69963627,-71.15229272, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
164,164,0,Platanus acerifolia,2017,42.69961181,-71.15205029, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
165,165,0,Ulmus americana,2017,42.70018824,-71.15323868, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
166,166,0,Ulmus americana,2017,42.69977601,-71.15324344, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
167,167,0,Ulmus americana,2017,42.69959435,-71.15323868, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
168,168,0,Acer rubrum,2017,42.69927993,-71.15216912, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
169,169,0,Acer rubrum,2017,42.69931137,-71.15185063, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
170,170,0,Acer rubrum,2017,42.69933233,-71.15152739, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
171,171,0,Acer rubrum,2017,42.6992415,-71.15268251, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
172,172,0,Aesculus carnea 'Briotti',2017,42.69922403,-71.15097122, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,AESCULUS,Sapindaceae
173,173,0,Aesculus carnea 'Briotti',2017,42.69920656,-71.15112809, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,AESCULUS,Sapindaceae
174,174,0,Aesculus carnea 'Briotti',2017,42.69914019,-71.15186489, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,AESCULUS,Sapindaceae
175,175,0,Aesculus carnea 'Briotti',2017,42.69911573,-71.15215011, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,AESCULUS,Sapindaceae
176,176,0,Aesculus carnea 'Briotti',2017,42.69912621,-71.15203602, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,AESCULUS,Sapindaceae
177,177,0,Gleditsia inermis,2017,42.69909477,-71.15428923, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
178,178,0,Gleditsia inermis,2017,42.69905984,-71.15463149, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
179,179,0,Gleditsia inermis,2017,42.69903538,-71.1549072, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
180,180,0,Gleditsia inermis,2017,42.69901442,-71.15513537, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
181,181,0,Ulmus americana,2017,42.69890612,-71.15604806, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
182,182,0,Ulmus americana,2017,42.69869301,-71.15693698, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
183,183,0,Ulmus americana,2017,42.69871398,-71.15681814, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
184,184,0,Ulmus americana,2017,42.69864061,-71.15715089, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
185,185,0,Ulmus americana,2017,42.69879433,-71.15652342, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
186,186,0,Ulmus americana,2017,42.69856725,-71.15745037, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
187,187,0,Ulmus americana,2017,42.69846593,-71.15786393, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
188,188,0,Gleditsia inermis,2017,42.6983751,-71.15820619, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
189,189,0,Gleditsia inermis,2017,42.69832619,-71.15842961, ,,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
190,190,0,Ginkgo biloba,2017,42.7068572,-71.1643208, ,420 Essex St,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GINKGO,Ginkgoaceae
191,191,0,Ginkgo biloba,2017,42.70680044,-71.16427029, ,421 Essex St,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GINKGO,Ginkgoaceae
192,192,0,Ginkgo biloba,2017,42.70672839,-71.16421384, ,422 Essex St,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GINKGO,Ginkgoaceae
193,193,0,Betula Nigra,2017,42.71311833,-71.16036666, ,57 Chestnut St,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
194,194,0,Betula Nigra,2017,42.71309747,-71.16026375, ,57 Chestnut St,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
195,195,0,Taxodium Distichum,2017,42.71343317,-71.16864692, ,217 Marion Ave,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TAXODIUM,Cupressaceae
196,196,0,Taxodium Distichum,2017,42.71370822,-71.16732483, ,217 Marion Ave,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TAXODIUM,Cupressaceae
197,197,0,Betula Nigra,2017,42.71370385,-71.16748823, ,217 Marion Ave,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
198,198,0,Betula Nigra,2017,42.71367547,-71.16777642, ,217 Marion Ave,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
199,199,0,Betula Nigra,2017,42.71351175,-71.16866178, ,217 Marion Ave,15 to 20,15 to 20,3.5, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,BETULA,Betulaceae
200,200,0,Tilia Tomentosa,2018,42.71343796,-71.16111302, ,57 Chestnut St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
201,201,0,Carpinus betulus Fastigiate,2018,42.7135113,-71.16112372, ,217 Marion Ave,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CARPINUS,
202,202,0,Oxydendrum arboruem,2018,42.69525473,-71.15646352, ,217 Marion Ave,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,OXYDENDRUM,
203,203,0,Syringa reticulata,2018,42.71293776,-71.17346047, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
204,204,0,Ginkgo biloba,2018,42.71357903,-71.17377991, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GINKGO,Ginkgoaceae
205,205,0,Gleditsia Trichanthos,2018,42.71294475,-71.17359357, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
206,206,0,Gleditsia Trichanthos,2018,42.71300063,-71.17363921, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
207,207,0,Juniperus virginiana,2018,42.71358462,-71.1723139, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,JUNIPERUS,
208,208,0,Platanus acerifolia,2018,42.71300203,-71.17338631, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
209,209,0,Platanus acerifolia,2018,42.71309983,-71.17316575, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
210,210,0,Platanus acerifolia,2018,42.71326049,-71.17283109, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
211,211,0,Platanus acerifolia,2018,42.71328983,-71.17273032, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PLATANUS,Platanaceae
212,212,0,Gleditsia Trichanthos,2018,42.71305372,-71.17368674, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
213,213,0,Prunus sargentii,2018,42.71291541,-71.17350991, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,PRUNUS,
214,214,0,Quercus bicolor,2018,42.71351197,-71.17200587, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
215,215,0,Quercus bicolor,2018,42.71302997,-71.17331596, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
216,216,0,Quercus bicolor,2018,42.71350219,-71.17263715, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
217,217,0,Quercus bicolor,2018,42.7132102,-71.17290905, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
218,218,0,Taxodium distichum,2018,42.71380675,-71.17306307, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TAXODIUM,Cupressaceae
219,219,0,Tilia Tomentosa,2018,42.71316549,-71.17300032, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
220,220,0,Tilia Tomentosa,2018,42.71306071,-71.17322469, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
221,221,0,Ulmus americana,2018,42.71320321,-71.17373047, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
222,222,0,Ulmus americana,2018,42.71326887,-71.17358787, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
223,223,0,Ulmus americana,2018,42.71385146,-71.1733635, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
224,224,0,Ulmus americana,2018,42.71340439,-71.17263144, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
225,225,0,Liquidambar styraciflua,2018,42.71362094,-71.17239757, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
226,226,0,Liquidambar styraciflua,2018,42.71365028,-71.17251926, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,LIQUIDAMBAR,Altingiaceae
227,227,0,Ulmus americana,2018,42.71313615,-71.17307448, ,Daisy St,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ULMUS,Ulmaceae
228,228,0,Crylus colurna,2018,42.69893887,-71.15411845, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CRYLUS,
229,229,0,Crylus colurna,2018,42.69893607,-71.15416979, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CRYLUS,
230,230,0,Crylus colurna,2018,42.69905485,-71.15473642, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CRYLUS,
231,231,0,Crylus colurna,2018,42.69875441,-71.15599565, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CRYLUS,
232,232,0,Cercis Canadensis,2018,42.69912018,-71.15399058, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CERCIS,Fabaceae
233,233,0,Cercis Canadensis,2018,42.69911285,-71.15406616, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CERCIS,Fabaceae
234,234,0,Cercis Canadensis,2018,42.69868628,-71.15627801, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CERCIS,Fabaceae
235,235,0,Cercis Canadensis,2018,42.6986496,-71.15643916, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CERCIS,Fabaceae
236,236,0,Syringa reticulata,2018,42.69826706,-71.15793939, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
237,237,0,Syringa reticulata,2018,42.69867371,-71.15701244, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
238,238,0,Syringa reticulata,2018,42.69870829,-71.15687696, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
239,239,0,Syringa reticulata,2018,42.69891581,-71.15439701, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
240,240,0,Syringa reticulata,2018,42.69891057,-71.15447901, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
241,241,0,Syringa reticulata,2018,42.69890009,-71.15455388, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
242,242,0,Syringa reticulata,2018,42.69888961,-71.15461092, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
243,243,0,Syringa reticulata,2018,42.69902498,-71.15503399, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
244,244,0,Syringa reticulata,2018,42.69886253,-71.15490802, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
245,245,0,Cornus Rutgers Hybrid,2018,42.69848523,-71.15707566, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
246,246,0,Cornus Rutgers Hybrid,2018,42.69814985,-71.15843994, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
247,247,0,Cornus Rutgers Hybrid,2018,42.69816207,-71.15837102, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
248,248,0,Cornus Rutgers Hybrid,2018,42.69821797,-71.15813571, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
249,249,0,Cornus Rutgers Hybrid,2018,42.69880838,-71.15553787, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
250,250,0,Cornus Rutgers Hybrid,2018,42.69879965,-71.15564483, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
251,251,0,Cornus Rutgers Hybrid,2018,42.69954552,-71.14805096, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
252,252,0,Cornus Rutgers Hybrid,2018,42.69955251,-71.14796302, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CORNUS,Cornaceae
253,253,0,Zelkova seratta,2018,42.69959618,-71.14750192, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ZELKOVA,
254,254,0,Zelkova seratta,2018,42.69956473,-71.14784656, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ZELKOVA,
255,255,0,Tilia cordata,2018,42.69956124,-71.14789409, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
256,256,0,Tilia cordata,2018,42.69952805,-71.14824586, ,Salem Street Corridor,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,TILIA,Malvaceae
257,257,0,Zelkova seratta,2018,42.69908787,-71.15437419, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ZELKOVA,
258,258,0,Zelkova seratta,2018,42.69957976,-71.14770205, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ZELKOVA,
259,259,0,Zelkova seratta,2018,42.69950989,-71.14843791, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ZELKOVA,
260,260,0,Gymnocladus dioicus,2018,42.69931844,-71.15178063, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GYMNOCLADUS,
261,261,0,Quercus palustris Fastigiate,2018,42.69933242,-71.15161331, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
262,262,0,Quercus palustris Fastigiate,2018,42.69930726,-71.15194606, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,QUERCUS,Fagaceae
263,263,0,Gleditsia tricanthos,2018,42.69932543,-71.14990201, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
264,264,0,Gleditsia tricanthos,2018,42.6992318,-71.15092308, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
265,265,0,Gleditsia tricanthos,2018,42.69887965,-71.15617105, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
266,266,0,Gleditsia tricanthos,2018,42.69834444,-71.15835961, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
267,267,0,Gleditsia tricanthos,2018,42.69844366,-71.15796221, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
268,268,0,Gleditsia tricanthos,2018,42.69903337,-71.15307741, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,GLEDITSIA,Fabaceae
269,269,0,Syringa reticulata,2018,42.69939809,-71.150944, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
270,270,0,Syringa reticulata,2018,42.6985848,-71.15668634, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
271,271,0,Syringa reticulata,2018,42.69963425,-71.14844171, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
272,272,0,Syringa reticulata,2018,42.69963006,-71.14849115, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,SYRINGA,Oleaceae
273,273,0,Acer rubrum,2018,42.70043898,-71.15299969, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
274,274,0,Acer rubrum,2018,42.70047391,-71.15310962, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
275,275,0,Acer rubrum,2018,42.69935381,-71.15306803, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
276,276,0,Acer rubrum,2018,42.69929704,-71.15300563, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
277,277,0,Acer rubrum,2018,42.6994215,-71.15298484, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
278,278,0,Acer x freemanii,2018,42.69955469,-71.15283926, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
279,279,0,Acer x freemanii,2018,42.70076431,-71.14962464, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,ACER,Sapindaceae
280,280,0,Celtis occidentalis,2018,42.70069007,-71.14960979, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CELTIS,
281,281,0,Celtis occidentalis,2018,42.69949137,-71.15258969, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CELTIS,
282,282,0,Celtis occidentalis,2018,42.69955251,-71.15272339, , ,15 to 20,15 to 20,3.0, <needs proofing>, , , <needs proofing>, , , ,EL, , ,,CELTIS,
